season,team_id,game_pk,n_bip,dpi,staff_bip,n_pitchers_bip,staff_k_pct,staff_ubb_pct,staff_net_gb,staff_popup_rate,staff_sp_share,pitch_hat,dpi_v2_stage1
2015,ATL,413973,31,-3.045,31,4,0.1961111427992934,0.070348475677751,0.29867927947602224,0.028509649672115514,0.4903384142603576,0.024253451312431507,-3.0692534513124317
2015,BOS,413972,20,0.948,20,2,0.20490701672136274,0.05044538209095171,0.18523206751054852,0.03559931239256133,0.85,0.875094795354467,0.07290520464553296
2015,TOR,413972,25,1.735,25,2,0.14435875357799446,0.07088966977729166,0.1593744618463615,0.06501128668171559,0.96,1.1054547507233425,0.6295452492766576
2015,NYY,413971,33,2.769,33,7,0.25076778843371605,0.061135826958546836,0.196861447869687,0.04943237424994881,0.5454545454545454,0.10820249480173949,2.6607975051982606
2015,TB,413971,28,1.686,28,5,0.23378995437492797,0.08010258279540203,0.07188661550408737,0.06243532599657607,0.39285714285714285,-0.0936139910007513,1.7796139910007511
2015,LAD,413970,25,-0.923,25,4,0.2508444661526158,0.04576713871812284,0.19731758531237614,0.05245087926928074,0.7613559322033899,0.5583435554599346,-1.4813435554599348
2015,SF,413970,26,0.872,26,5,0.17540513619141856,0.07128119478967762,0.21180671639593796,0.05060169509675651,0.3056988742964353,-0.2697578110619614,1.1417578110619613
2015,TEX,413969,32,-0.381,32,4,0.19770821283979179,0.07468221138129605,0.17080981089848368,0.055300720446601455,0.4375,-0.022312518808893733,-0.35868748119110627
2015,SEA,413969,25,2.174,25,3,0.2302538347352796,0.07331535543460332,0.25908180768596406,0.03265083292099621,0.8,0.6036056029650083,1.5703943970349916
2015,CHC,413968,29,-0.717,29,4,0.2122824158064104,0.07427628975867186,0.24234499100637008,0.03219165504506385,0.48782961460446245,0.03666636030227455,-0.7536663603022745
2015,PIT,413968,17,-0.203,17,4,0.22746184191481733,0.05498566749128143,0.2163002140965298,0.03639671043153066,0.5882352941176471,0.26536965969439963,-0.46836965969439964
2015,PHI,413967,27,2.212,27,3,0.14823389345374688,0.07288649131031986,0.14046756894580567,0.06418529622227157,0.7863247863247863,0.7743680504469483,1.4376319495530518
2015,NYM,413966,31,-1.782,31,5,0.18331840728517731,0.034803720488915106,0.16203375053747618,0.04778013931066183,0.6876061120543294,0.6155543585238037,-2.397554358523804
2015,MIA,413966,26,1.298,26,4,0.2138281327477309,0.0702889324239956,0.23947610037592246,0.034339616039161545,0.568561872909699,0.19907789222842176,1.0989221077715783
2015,CIN,413965,29,1.695,29,5,0.18691318271196206,0.10229622022338627,0.1911439329990723,0.037973002400141016,0.4794819784677797,0.05275344066892185,1.6422465593310782
2015,MIL,413965,26,1.704,26,3,0.17613947440459896,0.07953301147251325,0.24735234738571038,0.04310708197496454,0.7384615384615384,0.5513891770929865,1.1526108229070133
2015,CLE,413964,25,1.231,25,3,0.2748290821307773,0.07181305524232401,0.12058095372813028,0.040746180151251546,0.6826666666666666,0.43035858805010185,0.8006414119498982
2015,KC,413964,29,3.885,29,3,0.2212661086821757,0.0716842212273828,0.22783789022815223,0.029088634726914756,0.7241379310344828,0.5207702668931524,3.364229733106847
2015,HOU,413963,27,1.518,27,2,0.2425849163287238,0.054711166529991716,0.35720651396518344,0.02762706088962281,0.8275132275132274,0.5726938471438467,0.9453061528561533
2015,SD,413963,27,-1.733,27,4,0.2135387803447826,0.07805580391440371,0.21562967844325143,0.04421983315326696,0.6296296296296297,0.3031934597010123,-2.0361934597010123
2015,DET,413962,25,-1.395,25,5,0.15946075623145714,0.07203272622556275,0.1846623335558294,0.06123407914697321,0.4588235294117647,0.062085567446137246,-1.4570855674461374
