season,team_id,n_games,dpi_mean_v1,pitch_hat_mean,dpi_v2_stage1_mean
2021,LAD,184,0.50186,0.35399,0.14787
2021,MIA,170,0.24696,0.31455,-0.06759
2021,MIL,177,0.4023,0.42692,-0.02462
2021,MIN,173,0.42033,0.37691,0.04342
2021,NYM,170,0.41866,0.42184,-0.00318
2021,NYY,173,0.22016,0.35552,-0.13536
2021,PHI,172,-0.01676,0.33846,-0.35523
2021,PIT,173,0.18075,0.33264,-0.15189
2021,SD,172,0.42809,0.29634,0.13175
2021,SEA,171,0.49185,0.41104,0.08081
2021,SF,176,0.56766,0.39593,0.17174
2021,STL,171,1.02027,0.35171,0.66856
2021,TB,177,0.65151,0.23296,0.41855
2021,TEX,173,0.40981,0.31297,0.09684
2021,TOR,172,0.40088,0.41782,-0.01694
2021,WSH,170,0.21498,0.37614,-0.16116
2022,ATH,178,0.38554,0.41285,-0.02731
2022,ATL,181,0.43713,0.45404,-0.01691
2022,AZ,181,0.61818,0.35215,0.26603
2022,BAL,178,0.29165,0.3582,-0.06655
2022,BOS,178,0.1234,0.37777,-0.25437
2022,CHC,179,0.45404,0.30831,0.14573
2022,CIN,178,-0.07246,0.29287,-0.36533
2022,CLE,187,0.74987,0.48843,0.26144
2022,COL,179,0.16673,0.29661,-0.12988
2022,CWS,178,0.16728,0.3875,-0.22022
2022,DET,178,0.57903,0.297,0.28203
2022,HOU,183,0.72992,0.55794,0.17197
2022,KC,178,0.21276,0.25217,-0.03942
2022,LAA,178,0.54785,0.36992,0.17793
2022,LAD,182,0.69142,0.51883,0.17259
2022,MIA,174,0.31634,0.40437,-0.08802
2022,MIL,178,0.3888,0.39443,-0.00563
2022,MIN,178,0.50284,0.39321,0.10962
2022,NYM,179,0.28106,0.50255,-0.22149
2022,NYY,188,0.58991,0.49413,0.09578
2022,PHI,193,0.1829,0.45327,-0.27037
2022,PIT,178,0.14058,0.26861,-0.12803
2022,SD,190,0.41635,0.45547,-0.03912
2022,SEA,183,0.60565,0.50862,0.09703
2022,SF,177,0.06514,0.33723,-0.27209
2022,STL,177,0.72269,0.33453,0.38816
2022,TB,181,0.43557,0.41191,0.02366
2022,TEX,178,0.46204,0.28166,0.18037
2022,TOR,179,0.41086,0.4382,-0.02734
2022,WSH,175,0.03471,0.24779,-0.21308
2023,ATH,161,0.01585,0.0772,-0.06134
2023,ATL,165,0.28624,0.35996,-0.07373
2023,AZ,176,0.41503,0.3306,0.08443
2023,BAL,164,0.58282,0.38113,0.20169
2023,BOS,161,-0.1503,0.20486,-0.35517
2023,CHC,161,0.588,0.31682,0.27118
2023,CIN,161,-0.02685,0.23844,-0.26529
2023,CLE,160,0.48236,0.33177,0.1506
2023,COL,160,-0.21289,0.13596,-0.34885
2023,CWS,160,0.08256,0.27258,-0.19003
2023,DET,161,0.5462,0.25035,0.29586
2023,HOU,171,0.39827,0.35665,0.04162
2023,KC,161,0.28684,0.19396,0.09288
2023,LAA,161,0.13025,0.25066,-0.12041
2023,LAD,163,0.48279,0.30633,0.17645
2023,MIA,162,0.19782,0.33461,-0.13679
2023,MIL,163,0.75855,0.3867,0.37185
2023,MIN,167,0.09589,0.3857,-0.28982
2023,NYM,160,0.11927,0.35063,-0.23136
2023,NYY,161,0.48453,0.3076,0.17693
2023,PHI,174,0.22922,0.42876,-0.19954
2023,PIT,161,0.44478,0.26546,0.17932
2023,SD,160,0.48344,0.34671,0.13673
2023,SEA,160,0.45561,0.47846,-0.02285
2023,SF,161,0.24614,0.25868,-0.01255
2023,STL,161,0.09281,0.28696,-0.19416
2023,TB,163,0.46781,0.27957,0.18824
2023,TEX,177,0.44968,0.28528,0.1644
2023,TOR,163,0.38537,0.4247,-0.03933
2023,WSH,161,0.29893,0.30267,-0.00375
2024,ATH,168,0.13782,0.27558,-0.13777
2024,ATL,170,0.34264,0.56358,-0.22094
2024,AZ,169,0.41192,0.41239,-0.00047
2024,BAL,169,0.48247,0.39219,0.09027
2024,BOS,169,0.28016,0.38401,-0.10385
2024,CHC,170,0.40982,0.42516,-0.01535
2024,CIN,168,0.18049,0.35413,-0.17364
2024,CLE,177,0.54637,0.42437,0.12199
2024,COL,169,0.2012,0.30756,-0.10636
2024,CWS,168,-0.05337,0.26208,-0.31545
2024,DET,176,0.58227,0.32599,0.25629
2024,HOU,166,0.27897,0.46424,-0.18527
2024,KC,173,0.65138,0.44687,0.20451
2024,LAA,169,0.46203,0.33653,0.1255
2024,LAD,181,0.71201,0.37771,0.3343
2024,MIA,165,0.13314,0.30096,-0.16783
2024,MIL,172,0.63297,0.32584,0.30713
2024,MIN,168,0.16388,0.51309,-0.34921
2024,NYM,182,0.55724,0.37169,0.18556
