season,team_id,game_pk,n_bip,dpi_speed
2015,BOS,413807,31,0.181
2015,BAL,413807,22,1.542
2015,ATL,413806,35,-0.571
2015,TOR,413806,28,1.186
2015,SF,413805,24,0.747
2015,LAA,413804,17,-0.281
2015,HOU,413804,17,2.072
2015,TEX,413803,27,3.158
2015,CHC,413802,27,1.114
2015,ATH,413800,32,-4.246
2015,KC,413800,30,3.604
2015,NYY,413799,25,1.816
2015,TB,413799,22,0.736
2015,MIL,413798,26,-0.148
2015,MIA,413797,26,1.591
2015,NYM,413797,26,2.623
2015,COL,413796,24,0.195
2015,MIN,413795,30,1.192
2015,CLE,413795,27,3.615
2015,STL,413794,27,2.038
2015,DET,413793,21,2.142
2015,BAL,413792,22,1.839
2015,BOS,413792,24,-0.989
2015,ATL,413791,30,1.99
2015,TOR,413791,32,-0.975
2015,AZ,413790,28,9.654
2015,SF,413790,37,-0.062
2015,TOR,413788,25,-2.203
2015,STL,413786,24,0.806
2015,MIA,413785,26,-0.918
2015,NYM,413785,22,0.261
2015,KC,413784,36,-3.414
2015,SF,413783,39,15.657
2015,AZ,413783,36,12.478
2015,BOS,413782,33,-0.594
2015,TB,413781,31,-3.208
2015,TOR,413781,31,-0.606
2015,SEA,413780,24,-0.352
2015,LAD,413780,27,1.563
2015,PHI,413779,35,3.145
2015,NYY,413777,27,-1.416
2015,BAL,413777,22,-0.818
2015,STL,413776,32,-2.239
2015,MIL,413776,30,-1.126
2015,ATL,413775,27,2.457
2015,KC,413774,22,-0.604
2015,MIN,413774,29,0.406
2015,PIT,413773,20,1.815
2015,DET,413773,25,2.506
2015,SF,413772,24,1.7
2015,COL,413772,26,0.796
2015,CHC,413771,22,1.241
2015,CWS,413770,23,3.252
2015,SD,413769,25,1.22
2015,TEX,413768,34,-2.267
2015,LAA,413768,26,1.039
2015,BOS,413767,25,-1.581
2015,TB,413766,31,1.903
2015,TOR,413766,22,0.654
2015,SEA,413765,30,10.824
2015,LAD,413765,25,6.718
2015,NYM,413764,22,0.506
2015,BAL,413762,24,0.954
2015,NYY,413762,22,-3.255
2015,ATL,413761,29,-0.628
2015,MIA,413761,29,-0.765
2015,PIT,413760,25,2.209
2015,DET,413760,26,4.333
2015,SF,413759,28,8.968
2015,CHC,413758,25,-0.207
2015,CIN,413758,22,0.168
2015,CWS,413757,17,0.888
2015,CLE,413757,28,1.331
2015,SD,413756,24,13.958
2015,AZ,413756,24,9.631
2015,TEX,413755,31,2.208
2015,LAA,413755,27,-3.791
2015,WSH,413754,33,-3.003
2015,TB,413753,24,5.968
2015,LAD,413752,20,1.838
2015,SEA,413752,31,-0.118
2015,PHI,413751,28,0.507
2015,NYM,413751,27,1.133
2015,ATH,413750,20,-0.218
2015,HOU,413750,33,-1.155
2015,NYY,413749,22,-2.55
2015,BAL,413749,26,2.195
2015,MIL,413748,31,0.304
2015,STL,413748,29,0.562
2015,ATL,413747,24,1.692
2015,MIN,413746,35,-2.186
2015,KC,413746,25,2.615
2015,PIT,413745,21,-0.608
2015,COL,413744,25,0.959
2015,CIN,413743,33,2.819
2015,CHC,413743,35,-0.258
2015,AZ,413742,27,-0.183
2015,SD,413742,29,-2.555
2015,LAA,413741,23,2.926
2015,TEX,413741,33,3.33
2015,WSH,413740,27,0.0
2015,PHI,413740,30,0.0
2015,TOR,413739,26,-0.199
2015,BAL,413739,32,-0.54
2015,MIA,413738,33,-1.948
2015,TB,413738,29,-1.408
2015,STL,413737,27,2.027
2015,CIN,413737,33,0.079
2015,ATH,413735,32,1.107
2015,PIT,413734,22,1.85
2015,MIL,413734,31,0.214
2015,NYM,413733,26,0.913
2015,ATL,413733,26,0.544
2015,CWS,413732,24,-0.82
2015,LAD,413731,26,1.281
2015,AZ,413731,38,-0.514
2015,LAA,413730,33,-3.181
2015,KC,413730,21,3.56
2015,HOU,413729,41,1.788
2015,TEX,413729,41,0.521
2015,DET,413728,31,2.975
2015,CLE,413728,29,0.48
2015,CHC,413727,29,-1.941
2015,NYY,413726,30,0.0
2015,BOS,413726,33,0.0
2015,WSH,413725,36,3.223
2015,PHI,413725,27,2.324
2015,TOR,413724,24,-1.297
2015,MIA,413723,27,0.983
2015,TB,413723,20,3.691
2015,STL,413722,27,3.613
2015,CIN,413722,29,1.151
2015,SD,413721,24,0.001
2015,SEA,413720,38,1.673
2015,ATH,413720,36,3.357
2015,ATL,413718,24,6.08
2015,NYM,413718,28,1.677
2015,MIN,413717,28,-2.052
2015,CWS,413717,25,0.076
2015,AZ,413716,19,3.961
2015,KC,413715,29,2.22
2015,LAA,413715,28,-1.318
2015,TEX,413714,29,-0.517
2015,HOU,413714,30,-0.018
2015,CLE,413713,28,-1.048
2015,COL,413712,29,-1.39
2015,PHI,413710,23,0.0
2015,BAL,413709,37,-1.457
2015,TOR,413709,34,2.054
2015,MIA,413708,30,2.492
2015,TB,413708,32,0.11
2015,STL,413707,24,1.763
2015,CIN,413707,24,-3.295
2015,SF,413706,20,5.028
2015,SD,413706,20,7.159
2015,SEA,413705,34,-0.147
2015,PIT,413704,29,-0.758
2015,MIL,413704,25,0.107
2015,NYM,413703,29,-1.631
2015,CWS,413702,27,0.0
2015,LAD,413701,25,2.81
2015,AZ,413701,28,6.453
2015,LAA,413700,30,7.448
2015,KC,413700,24,6.101
2015,HOU,413699,24,1.437
2015,TEX,413699,28,-2.47
2015,CLE,413698,35,-5.132
2015,DET,413698,27,0.936
2015,COL,413697,24,0.555
2015,BOS,413696,55,13.341
2015,NYY,413696,58,11.24
2015,NYY,413695,25,-1.926
2015,TOR,413695,22,0.177
2015,ATH,413694,34,2.889
2015,SF,413692,34,2.386
2015,SD,413692,35,2.795
2015,CIN,413691,21,2.876
2015,PIT,413691,22,0.691
2015,WSH,413690,27,0.177
2015,MIN,413689,30,-0.547
2015,DET,413689,26,1.595
2015,CLE,413688,12,2.458
2015,HOU,413688,30,2.727
2015,CWS,413687,31,4.323
2015,KC,413687,23,5.59
2015,PHI,413686,32,-3.47
2015,CHC,413693,23,1.848
2015,NYY,413685,27,-1.784
2015,TOR,413685,22,-0.326
2015,TEX,413684,35,-4.305
2015,ATH,413684,18,2.491
2015,AZ,413682,38,-1.052
