team_id,season,blup,pipeline
DET,2018,-0.07589,v2_strip_park_frozen
DET,2019,-0.27563,v2_strip_park_frozen
DET,2020,0.1126,v2_strip_park_frozen
DET,2021,0.03702,v2_strip_park_frozen
DET,2022,0.13584,v2_strip_park_frozen
DET,2023,0.1408,v2_strip_park_frozen
DET,2024,0.12131,v2_strip_park_frozen
DET,2025,0.05225,v2_strip_park_frozen
HOU,2015,-0.06907,v2_strip_park_frozen
HOU,2016,-0.10031,v2_strip_park_frozen
HOU,2017,0.09641,v2_strip_park_frozen
HOU,2018,0.00197,v2_strip_park_frozen
HOU,2019,0.04671,v2_strip_park_frozen
HOU,2020,0.10064,v2_strip_park_frozen
HOU,2021,0.13495,v2_strip_park_frozen
HOU,2022,0.13353,v2_strip_park_frozen
HOU,2023,0.06482,v2_strip_park_frozen
HOU,2024,-0.05931,v2_strip_park_frozen
HOU,2025,-0.04357,v2_strip_park_frozen
KC,2015,0.16308,v2_strip_park_frozen
KC,2016,0.0114,v2_strip_park_frozen
KC,2017,-0.16943,v2_strip_park_frozen
KC,2018,-0.01213,v2_strip_park_frozen
KC,2019,-0.07309,v2_strip_park_frozen
KC,2020,-0.01702,v2_strip_park_frozen
KC,2021,0.02635,v2_strip_park_frozen
KC,2022,-0.03195,v2_strip_park_frozen
KC,2023,0.03444,v2_strip_park_frozen
KC,2024,0.10158,v2_strip_park_frozen
KC,2025,-0.01521,v2_strip_park_frozen
LAA,2015,-0.20774,v2_strip_park_frozen
LAA,2016,0.09334,v2_strip_park_frozen
LAA,2017,0.30783,v2_strip_park_frozen
LAA,2018,-0.00587,v2_strip_park_frozen
LAA,2019,0.11709,v2_strip_park_frozen
LAA,2020,-0.03484,v2_strip_park_frozen
LAA,2021,-0.17838,v2_strip_park_frozen
LAA,2022,0.04412,v2_strip_park_frozen
LAA,2023,-0.11524,v2_strip_park_frozen
LAA,2024,0.01133,v2_strip_park_frozen
LAA,2025,-0.24243,v2_strip_park_frozen
LAD,2015,-0.01793,v2_strip_park_frozen
LAD,2016,-0.02349,v2_strip_park_frozen
LAD,2017,0.08724,v2_strip_park_frozen
LAD,2018,0.02254,v2_strip_park_frozen
LAD,2019,0.14604,v2_strip_park_frozen
LAD,2020,0.2128,v2_strip_park_frozen
LAD,2021,0.05152,v2_strip_park_frozen
LAD,2022,0.07327,v2_strip_park_frozen
LAD,2023,0.07121,v2_strip_park_frozen
LAD,2024,0.15746,v2_strip_park_frozen
LAD,2025,0.11666,v2_strip_park_frozen
MIA,2015,0.02106,v2_strip_park_frozen
MIA,2016,0.02847,v2_strip_park_frozen
MIA,2017,0.1665,v2_strip_park_frozen
MIA,2018,0.02918,v2_strip_park_frozen
MIA,2019,0.03447,v2_strip_park_frozen
MIA,2020,-0.10341,v2_strip_park_frozen
MIA,2021,-0.06032,v2_strip_park_frozen
MIA,2022,-0.07913,v2_strip_park_frozen
MIA,2023,-0.09314,v2_strip_park_frozen
MIA,2024,-0.1166,v2_strip_park_frozen
MIA,2025,0.1207,v2_strip_park_frozen
MIL,2015,0.07627,v2_strip_park_frozen
MIL,2016,-0.02773,v2_strip_park_frozen
MIL,2017,0.02634,v2_strip_park_frozen
MIL,2018,0.19104,v2_strip_park_frozen
MIL,2019,0.0804,v2_strip_park_frozen
MIL,2020,-0.13634,v2_strip_park_frozen
MIL,2021,-0.00824,v2_strip_park_frozen
MIL,2022,0.00797,v2_strip_park_frozen
MIL,2023,0.21065,v2_strip_park_frozen
MIL,2024,0.18493,v2_strip_park_frozen
MIL,2025,0.1483,v2_strip_park_frozen
MIN,2015,0.06124,v2_strip_park_frozen
