player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
669261,Jack Suwinski,batter,1.743,1.743,0.0,0.0,0.0,25.0,3.4,906.0
669357,Nolan Gorman,batter,1.741,1.741,0.0,0.0,0.0,24.0,3.09,778.0
605182,Mike Clevinger,pitcher,1.739,1.739,0.0,0.0,0.0,33.0,3.95,248.1
666201,Alek Manoah,pitcher,1.722,2.021,-0.3,0.0,0.0,26.0,7.74,400.4
657077,Alex Verdugo,batter,1.72,1.72,0.0,0.0,0.0,28.0,5.88,1897.0
641816,Tyler Mahle,pitcher,1.718,1.718,0.0,0.0,0.0,29.0,7.36,325.4
666397,Edouard Julien,batter,1.711,2.211,-0.5,0.0,0.0,25.0,2.59,430.0
641482,Néstor Cortés,pitcher,1.707,1.973,-0.266,0.0,0.0,29.0,7.61,326.2
673548,Seiya Suzuki,batter,1.706,2.001,-0.294,0.0,0.0,29.0,4.97,1029.0
642207,Devin Williams,pitcher,1.696,1.696,0.0,0.0,0.0,29.0,6.34,173.3
664702,Myles Straw,batter,1.696,1.696,0.0,0.0,0.0,29.0,6.92,1779.0
668930,Brice Turang,batter,1.684,1.684,0.0,0.0,0.0,24.0,1.51,453.0
682985,Riley Greene,batter,1.683,1.683,0.0,0.0,0.0,23.0,3.18,834.0
623993,Anthony Santander,batter,1.679,1.679,0.0,0.0,0.0,29.0,5.58,1754.0
595879,Javier Báez,batter,1.674,1.674,0.0,0.0,0.0,31.0,7.49,1684.0
680686,Josiah Gray,pitcher,1.667,1.259,0.408,0.0,0.0,26.0,3.46,377.4
521692,Salvador Pérez,batter,1.661,1.661,0.0,0.0,0.0,34.0,8.39,1718.0
676664,JP Sears,pitcher,1.661,1.661,0.0,0.0,0.0,28.0,3.69,242.1
573262,Mike Yastrzemski,batter,1.652,1.652,0.0,0.0,0.0,33.0,6.88,1484.0
596146,Max Kepler,batter,1.648,1.648,0.0,0.0,0.0,31.0,6.47,1451.0
518934,DJ LeMahieu,batter,1.639,1.639,0.0,0.0,0.0,35.0,6.51,1782.0
607536,Kyle Freeland,pitcher,1.636,1.636,0.0,0.0,0.0,31.0,5.75,449.6
661388,William Contreras,batter,1.623,2.123,-0.5,0.0,0.0,26.0,6.4,1192.0
676801,Chas McCormick,batter,1.622,1.973,-0.351,0.0,0.0,29.0,7.43,1288.0
668909,Gavin Williams,pitcher,1.62,1.922,-0.302,0.0,0.0,24.0,1.98,82.0
593958,Eduardo Rodríguez,pitcher,1.61,1.61,0.0,0.0,0.0,31.0,5.18,413.3
671106,Logan Allen,pitcher,1.61,1.61,0.0,0.0,0.0,25.0,1.72,125.1
666185,Dylan Carlson,batter,1.609,1.609,0.0,0.0,0.0,25.0,5.47,1370.0
670764,Taylor Walls,batter,1.593,1.593,0.0,0.0,0.0,27.0,5.94,1002.0
605447,Jordan Romano,pitcher,1.581,1.978,-0.397,0.0,0.0,31.0,7.44,188.3
641680,Jonah Heim,batter,1.575,1.575,0.0,0.0,0.0,29.0,5.39,1307.0
668933,Graham Ashcraft,pitcher,1.565,1.565,0.0,0.0,0.0,26.0,3.35,250.2
516782,Starling Marte,batter,1.557,1.557,0.0,0.0,0.0,35.0,7.85,1385.0
666158,Gavin Lux,batter,1.555,1.873,-0.318,0.0,0.0,26.0,4.22,883.0
621107,Zach Eflin,pitcher,1.553,1.853,0.0,0.0,-0.3,30.0,6.46,373.5
676272,Bobby Miller,pitcher,1.548,1.81,-0.262,0.0,0.0,25.0,1.96,126.0
621242,Edwin Díaz,pitcher,1.536,1.536,0.0,0.0,0.0,30.0,4.24,126.4
624428,Adam Frazier,batter,1.535,1.535,0.0,0.0,0.0,32.0,6.55,1725.0
592192,Mark Canha,batter,1.533,1.845,-0.312,0.0,0.0,35.0,7.34,1695.0
656605,Mitch Keller,pitcher,1.524,1.524,0.0,0.0,0.0,28.0,4.46,453.3
680869,Zack Gelof,batter,1.516,2.016,-0.5,0.0,0.0,24.0,2.51,300.0
664299,Cristian Javier,pitcher,1.516,1.829,-0.314,0.0,0.0,27.0,6.13,446.1
676609,José Caballero,batter,1.513,1.513,0.0,0.0,0.0,27.0,2.47,280.0
681857,Reese Olson,pitcher,1.512,1.512,0.0,0.0,0.0,24.0,1.35,103.2
600869,Jeimer Candelario,batter,1.508,1.865,-0.357,0.0,0.0,30.0,7.31,1669.0
