player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
682622,Noelvi Marte,batter,0.72,1.055,-0.335,0.0,0.0,22.0,0.79,123.0,-1.77
671277,Luis García,batter,0.717,0.717,0.0,0.0,0.0,24.0,0.89,1106.0,2.15
608344,Cole Irvin,pitcher,0.711,0.711,0.0,0.0,0.0,30.0,3.45,436.2,-0.64
670167,John Schreiber,pitcher,0.708,0.708,0.0,0.0,0.0,30.0,3.52,114.2,0.4
681481,Kerry Carpenter,batter,0.707,1.08,-0.373,0.0,0.0,26.0,2.39,572.0,2.11
656420,J. P. Feyereisen,pitcher,0.705,0.705,0.0,0.0,0.0,31.0,2.27,83.3,-0.31
666142,Cole Ragans,pitcher,0.702,1.002,0.0,0.0,-0.3,26.0,2.23,136.0,4.68
691023,Jordan Walker,batter,0.7,0.96,-0.26,0.0,0.0,22.0,-0.11,465.0,-0.83
650489,Willi Castro,batter,0.7,0.977,-0.277,0.0,0.0,27.0,2.69,1268.0,1.58
656271,Brock Burke,pitcher,0.693,0.693,0.0,0.0,0.0,27.0,2.04,142.2,-0.18
669707,Jared Triolo,batter,0.687,1.187,-0.5,0.0,0.0,26.0,2.03,209.0,1.4
672582,Angel Zerpa,pitcher,0.681,0.481,0.5,0.0,-0.3,24.0,0.76,58.2,0.48
594580,Sam Moll,pitcher,0.68,0.68,0.0,0.0,0.0,32.0,2.72,115.3,0.83
641598,Mitch Garver,batter,0.677,0.928,-0.251,0.0,0.0,33.0,4.72,862.0,-0.17
622608,Antonio Senzatela,pitcher,0.674,0.397,0.278,0.0,0.0,29.0,2.34,255.5,0.0
669432,Trevor Rogers,pitcher,0.67,0.67,0.0,0.0,0.0,26.0,3.29,258.0,0.59
686527,Dominic Canzone,batter,0.669,0.169,0.5,0.0,0.0,26.0,-0.11,182.0,0.17
621112,Paul Blackburn,pitcher,0.669,0.669,0.0,0.0,0.0,30.0,2.68,252.4,0.47
592791,Jameson Taillon,pitcher,0.661,0.661,0.0,0.0,0.0,32.0,3.22,479.4,2.27
621381,Matt Strahm,pitcher,0.655,0.655,0.0,0.0,0.0,32.0,2.28,143.4,2.6
662253,Andrés Muñoz,pitcher,0.65,0.65,0.0,0.0,0.0,25.0,2.04,119.4,2.05
671221,Drew Waters,batter,0.649,0.649,0.0,0.0,0.0,25.0,0.97,446.0,-0.01
656849,David Peterson,pitcher,0.648,0.214,0.434,0.0,0.0,28.0,0.9,284.4,2.87
671732,Lawrence Butler,batter,0.648,0.21,0.438,0.0,0.0,23.0,-0.54,129.0,2.95
456781,Donovan Solano,batter,0.647,0.647,0.0,0.0,0.0,36.0,3.66,1120.0,0.97
502054,Tommy Pham,batter,0.64,0.64,0.0,0.0,0.0,36.0,3.41,1728.0,-0.22
663886,Tyler Stephenson,batter,0.64,1.016,-0.375,0.0,0.0,27.0,4.13,1102.0,2.4
596103,Austin Slater,batter,0.635,0.635,0.0,0.0,0.0,31.0,3.71,843.0,-0.25
605452,Joe Ross,pitcher,0.635,0.635,0.0,0.0,0.0,31.0,0.76,108.0,0.48
477132,Clayton Kershaw,pitcher,0.634,0.634,0.0,0.0,0.0,36.0,9.56,384.3,-0.28
621035,Chris Taylor,batter,0.63,0.981,-0.352,0.0,0.0,33.0,4.68,1477.0,-0.18
628451,Andy Ibáñez,batter,0.627,0.627,0.0,0.0,0.0,31.0,3.5,783.0,1.33
663362,Matt Waldron,pitcher,0.625,0.125,0.5,0.0,0.0,27.0,0.22,41.1,0.85
622253,Dillon Tate,pitcher,0.624,0.624,0.0,0.0,0.0,30.0,2.06,140.4,-0.1
668942,Josh Rojas,batter,0.623,1.005,-0.382,0.0,0.0,30.0,4.42,1410.0,2.11
669477,Casey Schmitt,batter,0.62,0.237,0.382,0.0,0.0,25.0,-0.43,277.0,0.19
656582,Connor Joe,batter,0.619,0.619,0.0,0.0,0.0,31.0,3.35,1150.0,0.67
665506,Cristian Pache,batter,0.618,0.124,0.493,0.0,0.0,25.0,-0.96,433.0,-0.21
518595,Travis d'Arnaud,batter,0.617,0.617,0.0,0.0,0.0,35.0,3.23,1032.0,1.08
663559,Bailey Falter,pitcher,0.617,0.155,0.462,0.0,0.0,27.0,0.84,197.6,1.57
647351,Abraham Toro,batter,0.614,0.184,0.43,0.0,0.0,27.0,1.15,748.0,0.61
668904,Royce Lewis,batter,0.612,1.112,-0.5,0.0,0.0,25.0,2.72,306.0,0.66
672820,Lenyn Sosa,batter,0.609,0.109,0.5,0.0,0.0,24.0,-1.21,209.0,-0.48
807799,Masataka Yoshida,batter,0.604,1.076,-0.472,0.0,0.0,30.0,1.39,580.0,1.59
676254,Ryan Walker,pitcher,0.602,0.602,0.0,0.0,0.0,28.0,0.93,61.1,2.79
625643,Reynaldo López,pitcher,0.585,1.085,-0.5,0.0,0.0,30.0,4.45,190.3,5.09
686469,Vinnie Pasquantino,batter,0.585,0.585,0.0,0.0,0.0,26.0,1.38,558.0,1.31
664126,Pete Fairbanks,pitcher,0.583,0.583,0.0,0.0,0.0,30.0,2.95,114.2,0.84
669127,Shea Langeliers,batter,0.582,0.582,0.0,0.0,0.0,26.0,1.01,643.0,2.85
607625,Seth Lugo,pitcher,0.574,0.874,0.0,0.0,-0.3,34.0,3.51,259.2,5.04
666745,Jhony Brito,pitcher,0.571,0.571,0.0,0.0,0.0,26.0,0.68,90.1,0.19
669387,Carmen Mlodzinski,pitcher,0.571,0.571,0.0,0.0,0.0,25.0,0.77,36.0,0.75
696136,Jordan Wicks,pitcher,0.566,0.566,0.0,0.0,0.0,24.0,0.33,34.2,-0.48
621237,José Alvarado,pitcher,0.56,0.56,0.0,0.0,0.0,29.0,2.37,166.4,0.43
676475,Alec Burleson,batter,0.559,0.079,0.48,0.0,0.0,25.0,-0.71,400.0,1.38
668670,Jake Rogers,batter,0.55,0.55,0.0,0.0,0.0,29.0,2.0,492.0,0.93
650559,Bryan De La Cruz,batter,0.547,0.174,0.373,0.0,0.0,27.0,0.93,1207.0,-1.13
669713,Hayden Wesneski,pitcher,0.547,0.386,0.46,0.0,-0.3,26.0,1.15,122.1,-0.29
681351,Logan O'Hoppe,batter,0.544,0.544,0.0,0.0,0.0,24.0,0.55,215.0,2.65
608638,J. T. Chargois,pitcher,0.54,0.54,0.0,0.0,0.0,33.0,2.96,122.1,0.84
571745,Mitch Haniger,batter,0.537,0.537,0.0,0.0,0.0,33.0,3.81,1191.0,-0.23
666277,George Soriano,pitcher,0.532,0.532,0.0,0.0,0.0,25.0,0.57,53.0,-0.64
643410,Mark Leiter,pitcher,0.532,0.532,0.0,0.0,0.0,33.0,1.71,131.3,-0.47
672710,Roansy Contreras,pitcher,0.531,0.531,0.0,0.0,0.0,24.0,0.9,166.1,0.42
572955,Pierce Johnson,pitcher,0.529,0.131,0.398,0.0,0.0,33.0,1.35,141.5,0.74
676369,Nelson Velázquez,batter,0.523,0.523,0.0,0.0,0.0,25.0,0.53,385.0,-0.45
683734,Andrew Vaughn,batter,0.521,0.521,0.0,0.0,0.0,26.0,1.11,1644.0,0.09
686613,Hunter Brown,pitcher,0.52,0.449,0.371,0.0,-0.3,25.0,0.87,186.2,2.8
621363,Colin Poche,pitcher,0.518,0.518,0.0,0.0,0.0,30.0,1.67,119.4,0.48
663738,Daniel Lynch,pitcher,0.518,0.253,0.265,0.0,0.0,27.0,0.91,251.3,0.81
676914,Davis Schneider,batter,0.515,1.015,-0.5,0.0,0.0,25.0,1.82,141.0,-0.14
571948,Hoby Milner,pitcher,0.512,0.512,0.0,0.0,0.0,33.0,2.03,151.6,-0.57
677649,Ezequiel Duran,batter,0.511,0.878,-0.367,0.0,0.0,25.0,1.33,659.0,0.16
666163,Ben Rortvedt,batter,0.509,0.009,0.5,0.0,0.0,26.0,-0.25,177.0,0.89
642100,Gabe Speier,pitcher,0.508,0.185,0.323,0.0,0.0,29.0,1.32,80.5,-0.47
676714,Brandon Hughes,pitcher,0.508,0.157,0.351,0.0,0.0,28.0,1.02,70.4,-0.39
593160,Whit Merrifield,batter,0.5,0.833,-0.333,0.0,0.0,35.0,4.35,1870.0,0.23
592426,Luke Jackson,pitcher,0.494,0.766,-0.272,0.0,0.0,32.0,2.8,105.2,-0.33
657024,Erik Swanson,pitcher,0.494,0.798,-0.304,0.0,0.0,30.0,3.53,157.3,-0.25
592779,Brock Stewart,pitcher,0.493,0.763,-0.27,0.0,0.0,32.0,1.62,30.2,-0.07
679529,Spencer Torkelson,batter,0.492,0.492,0.0,0.0,0.0,24.0,-0.39,1088.0,0.19
668952,Ryan Kreidler,batter,0.491,-0.009,0.5,0.0,0.0,26.0,0.03,102.0,-0.52
624431,Jose Trevino,batter,0.49,0.49,0.0,0.0,0.0,31.0,2.87,846.0,0.62
606149,Giovanny Gallegos,pitcher,0.489,0.489,0.0,0.0,0.0,32.0,2.43,197.2,-0.33
542194,Christian Bethancourt,batter,0.488,0.488,0.0,0.0,0.0,32.0,1.76,670.0,0.35
668901,Mark Vientos,batter,0.487,0.072,0.415,0.0,0.0,24.0,-1.24,274.0,3.09
