season,team_id,game_pk,n_bip,actual_outs,expected_outs,n_feature_rows,dpi
2015,NYM,413751,27,20,18.840205783293175,26,1.16
2015,ATH,413750,20,15,15.382280714041025,20,-0.382
2015,HOU,413750,33,20,21.047358300331116,33,-1.047
2015,NYY,413749,22,11,13.686108339640676,22,-2.686
2015,BAL,413749,26,19,16.74071568360495,24,2.259
2015,MIL,413748,31,21,20.485723831206023,29,0.514
2015,STL,413748,29,20,19.170084154921508,28,0.83
2015,ATL,413747,24,18,16.498648250094302,23,1.501
2015,MIN,413746,35,21,23.251327901303743,34,-2.251
2015,KC,413746,25,18,15.517758794573824,25,2.482
2015,PIT,413745,21,14,14.445387380072066,21,-0.445
2015,COL,413744,25,20,19.15538267047059,25,0.845
2015,CIN,413743,33,23,20.46846086760322,30,2.532
2015,CHC,413743,35,22,22.200870368157396,35,-0.201
2015,AZ,413742,27,18,18.21851929873601,27,-0.219
2015,SD,413742,29,16,18.54805275272964,28,-2.548
2015,LAA,413741,23,16,12.943822443438856,21,3.056
2015,TEX,413741,33,21,17.7981776345835,29,3.202
2015,WSH,413740,27,18,0.0,0,0.0
2015,PHI,413740,30,21,0.0,0,0.0
2015,TOR,413739,26,18,18.11983800794865,26,-0.12
2015,BAL,413739,32,22,22.73403251370195,32,-0.734
2015,MIA,413738,33,19,20.991377979707725,32,-1.991
2015,TB,413738,29,20,21.463735773267658,29,-1.464
2015,STL,413737,27,16,13.901229453764437,23,2.099
2015,CIN,413737,33,23,22.614635645805418,31,0.385
2015,ATH,413735,32,23,21.879766330440816,32,1.12
2015,PIT,413734,22,17,15.326073668099658,21,1.674
2015,MIL,413734,31,17,17.140394950593972,30,-0.14
2015,NYM,413733,26,19,18.240736150607173,26,0.759
2015,ATL,413733,26,17,16.57875204006754,25,0.421
2015,CWS,413732,24,17,17.66534961225598,23,-0.665
2015,LAD,413731,26,14,12.694304370286893,24,1.306
2015,AZ,413731,38,21,21.269040370543447,37,-0.269
2015,LAA,413730,33,18,21.23428306596496,32,-3.234
2015,KC,413730,21,16,12.405017734140987,20,3.595
2015,HOU,413729,41,32,30.434254520532992,41,1.566
2015,TEX,413729,41,29,28.520211807773556,41,0.48
2015,DET,413728,31,21,18.244282706587093,29,2.756
2015,CLE,413728,29,18,17.640271306874347,26,0.36
2015,CHC,413727,29,18,19.962144025342987,29,-1.962
2015,NYY,413726,30,22,0.0,0,0.0
2015,BOS,413726,33,17,0.0,0,0.0
2015,WSH,413725,36,23,19.629902257161,33,3.37
2015,PHI,413725,27,20,17.743067319289732,27,2.257
2015,TOR,413724,24,14,15.37758633249242,24,-1.378
2015,MIA,413723,27,21,20.087486916685847,27,0.913
2015,TB,413723,20,18,14.483399327770833,19,3.517
2015,STL,413722,27,21,17.422018280573262,25,3.578
2015,CIN,413722,29,19,17.635022929421947,28,1.365
2015,SD,413721,24,17,16.974348771955935,24,0.026
2015,SEA,413720,38,26,24.698170972618747,36,1.302
2015,ATH,413720,36,26,22.58285237040722,35,3.417
2015,ATL,413718,24,20,14.096708093359398,22,5.903
2015,NYM,413718,28,19,17.53843733813663,25,1.462
2015,MIN,413717,28,17,19.228288417442187,28,-2.228
2015,CWS,413717,25,16,15.829228112985541,25,0.171
2015,AZ,413716,19,17,13.126921449647767,17,3.873
2015,KC,413715,29,23,20.811026645617897,28,2.189
2015,LAA,413715,28,16,17.46077349263681,27,-1.461
2015,TEX,413714,29,18,18.349845626468706,29,-0.35
2015,HOU,413714,30,20,19.913534442360227,29,0.086
2015,CLE,413713,28,14,14.918754082413654,27,-0.919
2015,COL,413712,29,17,18.217336041953487,27,-1.217
2015,PHI,413710,23,17,0.0,0,0.0
2015,BAL,413709,37,21,22.191135780725432,37,-1.191
2015,TOR,413709,34,21,18.8788080921862,34,2.121
2015,MIA,413708,30,20,17.626330064565504,26,2.374
2015,TB,413708,32,19,18.911210192880542,30,0.089
2015,STL,413707,24,20,18.25957708068451,24,1.74
2015,CIN,413707,24,14,17.301061200407485,24,-3.301
2015,SF,413706,20,15,10.101122509916406,16,4.899
2015,SD,413706,20,15,7.667666977639185,14,7.332
2015,SEA,413705,34,18,18.217961424580576,28,-0.218
2015,PIT,413704,29,20,20.689693970769053,29,-0.69
2015,MIL,413704,25,15,15.166311070710346,23,-0.166
2015,NYM,413703,29,18,19.773993448714158,28,-1.774
2015,CWS,413702,27,17,0.0,0,0.0
2015,LAD,413701,25,18,15.376060407746035,21,2.624
2015,AZ,413701,28,20,13.611835375237577,21,6.388
2015,LAA,413700,30,21,13.476380841836022,20,7.524
2015,KC,413700,24,17,10.986379778502576,15,6.014
2015,HOU,413699,24,18,16.376015209648408,24,1.624
2015,TEX,413699,28,17,19.771525537355494,28,-2.772
2015,CLE,413698,35,16,21.07738870860894,34,-5.077
2015,DET,413698,27,17,15.983980862939609,27,1.016
2015,COL,413697,24,19,18.522609715749137,24,0.477
2015,BOS,413696,55,40,26.833446511807043,35,13.167
2015,NYY,413696,58,39,27.40069825922162,41,11.599
2015,NYY,413695,25,16,17.883447228534273,25,-1.883
2015,TOR,413695,22,15,14.845542161532675,22,0.154
2015,ATH,413694,34,21,17.959596032728843,25,3.04
2015,SF,413692,34,25,22.583533652647198,29,2.416
2015,SD,413692,35,28,25.012777376570646,32,2.987
2015,CIN,413691,21,15,12.173809242026328,18,2.826
2015,PIT,413691,22,15,14.171700849213972,19,0.828
2015,WSH,413690,27,17,16.788168257754325,26,0.212
2015,MIN,413689,30,20,20.57721976838951,30,-0.577
2015,DET,413689,26,21,19.368407467667748,24,1.632
2015,CLE,413688,12,11,8.558145784995396,10,2.442
2015,HOU,413688,30,19,16.267773579587985,22,2.732
2015,CWS,413687,31,22,17.72253352574567,27,4.277
2015,KC,413687,23,19,13.592080915117009,20,5.408
2015,PHI,413686,32,19,22.481496064689807,32,-3.481
2015,CHC,413693,23,19,17.18770294751301,23,1.812
2015,NYY,413685,27,20,21.876903325113748,27,-1.877
2015,TOR,413685,22,15,15.414124757790635,21,-0.414
2015,TEX,413684,35,20,24.604861487755898,35,-4.605
