player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
622491,Luis Castillo,pitcher,3.548,3.548,0.0,31.0,11.23,548.4,1.92
547180,Bryce Harper,batter,3.518,3.518,0.0,31.0,12.02,1697.0,4.6
621111,Walker Buehler,pitcher,3.502,3.002,0.5,29.0,7.47,291.0,-1.14
607043,Brandon Nimmo,batter,3.478,3.874,-0.396,31.0,12.45,1754.0,2.18
642715,Willy Adames,batter,3.456,3.456,0.0,28.0,11.42,1835.0,3.21
650333,Luis Arráez,batter,3.434,3.726,-0.292,27.0,11.8,1707.0,1.07
675911,Spencer Strider,pitcher,3.412,3.412,0.0,25.0,6.81,335.2,-0.09
605483,Blake Snell,pitcher,3.384,3.64,-0.256,31.0,10.1,449.4,2.18
605400,Aaron Nola,pitcher,3.377,3.377,0.0,31.0,10.4,626.6,3.98
656302,Dylan Cease,pitcher,3.369,3.663,-0.294,28.0,11.57,528.1,4.03
663647,Ke'Bryan Hayes,batter,3.344,3.344,0.0,27.0,10.67,1481.0,0.88
687263,Zach Neto,batter,3.343,3.343,0.0,23.0,1.56,329.0,5.06
656775,Cedric Mullins,batter,3.288,3.734,-0.446,29.0,13.01,1814.0,2.36
668804,Bryan Reynolds,batter,3.279,3.279,0.0,29.0,11.34,1900.0,3.64
681082,Bryson Stott,batter,3.261,3.261,0.0,26.0,5.53,1208.0,2.3
669221,Sean Murphy,batter,3.256,3.256,0.0,29.0,10.44,1505.0,1.25
668881,Hunter Greene,pitcher,3.203,2.894,0.309,24.0,2.97,237.2,6.03
663538,Nico Hoerner,batter,3.154,3.569,-0.416,27.0,10.82,1375.0,3.74
671096,Andrew Abbott,pitcher,3.148,3.403,-0.255,25.0,2.74,109.1,3.3
592663,J.T. Realmuto,batter,3.14,3.14,0.0,33.0,13.55,1763.0,2.86
672386,Alejandro Kirk,batter,3.138,3.138,0.0,25.0,6.77,1169.0,1.91
672515,Gabriel Moreno,batter,3.12,3.598,-0.479,24.0,4.93,523.0,2.55
669923,George Kirby,pitcher,3.102,3.102,0.0,26.0,5.12,328.2,2.08
641857,Ryan McMahon,batter,3.093,3.093,0.0,29.0,10.12,1820.0,2.32
672282,Reid Detmers,pitcher,3.086,3.086,0.0,24.0,4.33,297.4,-1.09
641154,Pablo López,pitcher,3.056,3.056,0.0,28.0,9.3,488.4,2.63
669357,Nolan Gorman,batter,3.043,3.043,0.0,24.0,3.09,778.0,0.47
664285,Framber Valdez,pitcher,3.035,3.035,0.0,30.0,9.11,590.2,4.63
624133,Ranger Suárez,pitcher,3.032,3.032,0.0,28.0,10.31,419.2,2.9
656756,Jordan Montgomery,pitcher,3.024,3.024,0.0,31.0,9.13,557.3,-1.38
593871,Jorge Polanco,batter,3.004,2.686,0.318,30.0,9.61,1458.0,1.29
668930,Brice Turang,batter,2.985,2.985,0.0,24.0,1.51,453.0,4.76
682829,Elly De La Cruz,batter,2.962,2.962,0.0,22.0,0.74,427.0,5.21
679032,Johan Rojas,batter,2.958,3.458,-0.5,23.0,2.37,209.0,0.57
662139,Daulton Varsho,batter,2.917,3.231,-0.314,27.0,10.1,1494.0,4.83
678662,Ezequiel Tovar,batter,2.915,3.215,-0.3,22.0,2.18,650.0,3.58
605397,Joe Musgrove,pitcher,2.883,2.883,0.0,31.0,9.33,477.4,1.72
668909,Gavin Williams,pitcher,2.881,3.183,-0.302,24.0,1.98,82.0,-0.09
693821,Bryce Elder,pitcher,2.85,2.85,0.0,25.0,3.67,231.1,-0.7
575929,Willson Contreras,batter,2.836,2.836,0.0,32.0,11.32,1465.0,3.04
680869,Zack Gelof,batter,2.818,3.318,-0.5,24.0,2.51,300.0,1.36
678394,Brayan Bello,pitcher,2.802,2.802,0.0,25.0,3.49,214.1,1.18
664023,Ian Happ,batter,2.801,3.127,-0.326,29.0,9.41,1867.0,3.92
571448,Nolan Arenado,batter,2.781,3.238,-0.457,33.0,14.3,1897.0,2.7
681857,Reese Olson,pitcher,2.773,2.773,0.0,24.0,1.35,103.2,1.44
670623,Isaac Paredes,batter,2.749,3.249,-0.5,25.0,6.4,1049.0,2.73
677950,Alek Thomas,batter,2.744,2.744,0.0,24.0,2.44,872.0,-0.04
606192,Teoscar Hernández,batter,2.716,2.716,0.0,31.0,8.82,1817.0,4.14
666200,Jesús Luzardo,pitcher,2.714,2.714,0.0,26.0,5.34,377.4,0.55
671213,Triston Casas,batter,2.708,2.708,0.0,24.0,2.34,597.0,0.66
645277,Ozzie Albies,batter,2.704,3.066,-0.361,27.0,9.6,1701.0,1.64
690986,Kyle Harrison,pitcher,2.702,2.265,0.437,22.0,0.22,34.2,0.7
669261,Jack Suwinski,batter,2.683,2.683,0.0,25.0,3.4,906.0,-1.71
545361,Mike Trout,batter,2.657,2.657,0.0,32.0,10.95,1007.0,1.03
666397,Edouard Julien,batter,2.652,3.152,-0.5,25.0,2.59,430.0,-0.17
668227,Randy Arozarena,batter,2.645,3.145,-0.5,29.0,10.12,1940.0,1.71
592332,Kevin Gausman,pitcher,2.642,2.642,0.0,33.0,11.68,567.1,1.09
680694,Kyle Bradish,pitcher,2.631,2.631,0.0,27.0,5.0,290.3,1.05
650402,Gleyber Torres,batter,2.63,2.63,0.0,27.0,7.67,1801.0,1.88
671106,Logan Allen,pitcher,2.625,2.625,0.0,25.0,1.72,125.1,-1.07
601713,Nick Pivetta,pitcher,2.621,2.36,0.261,31.0,7.31,489.6,1.46
682626,Francisco Álvarez,batter,2.619,2.619,0.0,22.0,0.97,438.0,0.81
