player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
665795,Edward Cabrera,pitcher,1.835,1.835,0.0,26.0,3.7,196.5
696136,Jordan Wicks,pitcher,1.827,1.827,0.0,24.0,0.33,34.2
643217,Andrew Benintendi,batter,1.825,1.825,0.0,29.0,6.12,1680.0
670764,Taylor Walls,batter,1.82,1.82,0.0,27.0,5.94,1002.0
593958,Eduardo Rodríguez,pitcher,1.811,1.811,0.0,31.0,5.18,413.3
669467,Andre Pallante,pitcher,1.797,1.797,0.0,25.0,1.76,176.2
679529,Spencer Torkelson,batter,1.794,1.794,0.0,24.0,-0.39,1088.0
672710,Roansy Contreras,pitcher,1.793,1.793,0.0,24.0,0.9,166.1
668901,Mark Vientos,batter,1.789,1.373,0.415,24.0,-1.24,274.0
605447,Jordan Romano,pitcher,1.782,2.18,-0.397,31.0,7.44,188.3
660813,Brusdar Graterol,pitcher,1.779,2.104,-0.325,25.0,3.05,163.2
683146,Brett Baty,batter,1.772,1.437,0.334,24.0,-1.0,431.0
678894,Liover Peguero,batter,1.768,2.08,-0.312,23.0,-0.43,217.0
665862,Jazz Chisholm,batter,1.763,2.13,-0.367,26.0,5.58,1139.0
656605,Mitch Keller,pitcher,1.744,1.744,0.0,28.0,4.46,453.3
676609,José Caballero,batter,1.741,1.741,0.0,27.0,2.47,280.0
681190,Randy Vásquez,pitcher,1.74,1.74,0.0,25.0,1.02,37.2
514888,José Altuve,batter,1.738,2.238,-0.5,34.0,12.54,1882.0
665804,Miguel Amaya,batter,1.733,1.43,0.302,25.0,0.33,156.0
605137,Josh Bell,batter,1.729,1.729,0.0,31.0,5.85,1877.0
676116,Ryan Noda,batter,1.727,1.982,-0.255,28.0,2.18,495.0
669397,Nick Allen,batter,1.711,1.711,0.0,25.0,1.26,655.0
672356,Gabriel Arias,batter,1.709,1.709,0.0,24.0,-0.15,413.0
553993,Eugenio Suárez,batter,1.698,1.698,0.0,32.0,5.92,1918.0
678246,Miguel Vargas,batter,1.691,1.691,0.0,24.0,-0.25,354.0
672724,Oswald Peraza,batter,1.686,1.686,0.0,24.0,0.0,251.0
663898,Brendan Rodgers,batter,1.683,1.683,0.0,27.0,5.76,1188.0
670032,Nicky Lopez,batter,1.678,1.678,0.0,29.0,5.96,1307.0
664299,Cristian Javier,pitcher,1.677,1.991,-0.314,27.0,6.13,446.1
621121,Lance McCullers,pitcher,1.67,2.06,-0.39,30.0,4.75,236.0
669701,Josh Smith,batter,1.667,1.176,0.491,26.0,1.17,485.0
621244,José Berríos,pitcher,1.666,1.666,0.0,30.0,5.2,556.2
682842,Abner Uribe,pitcher,1.666,2.166,-0.5,24.0,0.97,32.0
662253,Andrés Muñoz,pitcher,1.665,1.665,0.0,25.0,2.04,119.4
666120,Ian Anderson,pitcher,1.66,1.66,0.0,26.0,2.72,256.3
641540,Dane Dunning,pitcher,1.655,1.655,0.0,29.0,4.52,449.5
666142,Cole Ragans,pitcher,1.65,1.65,0.0,26.0,2.23,136.0
660821,Jesús Sánchez,batter,1.644,1.644,0.0,26.0,3.36,1001.0
596115,Trevor Story,batter,1.638,1.999,-0.361,31.0,7.64,1159.0
677960,Ryan Weathers,pitcher,1.625,1.202,0.422,24.0,-1.3,154.6
678606,Jose Ferrer,pitcher,1.619,1.619,0.0,24.0,-0.04,34.0
670912,Johan Oviedo,pitcher,1.617,1.617,0.0,26.0,2.7,295.3
649966,Luis Urías,batter,1.609,1.609,0.0,27.0,6.02,1231.0
663903,Brady Singer,pitcher,1.608,1.608,0.0,27.0,4.78,440.4
666139,Josh Lowe,batter,1.608,1.951,-0.343,26.0,4.08,706.0
656876,Drew Rasmussen,pitcher,1.599,1.858,-0.259,28.0,6.07,269.4
622761,Jorge Mateo,batter,1.596,1.596,0.0,29.0,5.03,1097.0
664062,Tony Gonsolin,pitcher,1.592,1.592,0.0,30.0,5.35,293.4
671221,Drew Waters,batter,1.59,1.59,0.0,25.0,0.97,446.0
680777,Ryan Jeffers,batter,1.588,1.588,0.0,27.0,4.75,887.0
657656,Ramón Laureano,batter,1.588,1.588,0.0,29.0,5.28,1165.0
664747,Alexis Díaz,pitcher,1.587,2.039,-0.452,27.0,4.84,130.3
