team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip
MIN,2023,0.122,20.36,1.697,0.3708,0.639,167,96.91400069789961,-96.91400069789961,167,4095.0,0.29272680544847085,4095
NYM,2023,0.132,21.153,1.634,0.3796,0.676,160,-15.320001419866458,15.320001419866458,160,3991.0,0.29679284963196634,3991
NYY,2023,0.497,80.037,1.722,0.3673,0.628,161,51.52199918858241,-51.52199918858241,161,4026.0,0.28008352910467244,4026
PHI,2023,0.265,46.066,1.797,0.3576,0.646,174,89.23400023637805,-89.23400023637805,174,4381.0,0.2883054892601432,4381
PIT,2023,0.454,73.029,1.699,0.3705,0.63,161,-27.65899920312222,27.65899920312222,161,4175.0,0.29897423067300477,4175
SD,2023,0.502,80.355,1.684,0.3726,0.668,160,85.47300015820656,-85.47300015820656,160,3947.0,0.28435266084193805,3947
SEA,2023,0.454,72.712,1.776,0.3603,0.652,160,95.76500097708777,-95.76500097708777,160,4011.0,0.287170107133525,4011
SF,2023,0.245,39.455,1.928,0.3416,0.65,161,38.22000139427837,-38.22000139427837,161,4183.0,0.30309072781655033,4183
STL,2023,0.103,16.62,1.785,0.3591,0.625,161,-92.04299842542969,92.04299842542969,161,4428.0,0.31795716639209226,4428
TB,2023,0.465,75.867,1.933,0.341,0.625,163,99.9039998059161,-99.9039998059161,163,4012.0,0.28567701539264284,4012
TEX,2023,0.47,83.213,1.883,0.3469,0.67,177,57.66300135082565,-57.66300135082565,177,4541.0,0.28782628782628783,4542
TOR,2023,0.398,64.925,1.71,0.369,0.64,163,72.05200093821622,-72.05200093821622,163,4024.0,0.2940407736539467,4024
WSH,2023,0.319,51.36,1.891,0.3459,0.653,161,-128.5509969436098,128.5509969436098,161,4368.0,0.30439000727625515,4368
ATH,2024,0.153,25.631,1.895,0.3454,0.637,168,-36.353997603291646,36.353997603291646,168,4421.0,0.295004712535344,4421
ATL,2024,0.343,58.284,1.838,0.3524,0.674,170,86.87299934215844,-86.87299934215844,170,4107.0,0.30058242593061535,4107
AZ,2024,0.419,70.845,1.858,0.3499,0.625,169,-62.42499896627851,62.42499896627851,169,4518.0,0.30945227640397505,4518
BAL,2024,0.499,84.282,1.787,0.3589,0.646,169,39.24800130072981,-39.24800130072981,169,4337.0,0.28478731074260993,4337
BOS,2024,0.28,47.362,1.841,0.352,0.671,169,10.322000631131232,-10.322000631131232,169,4423.0,0.2873019626389217,4423
CHC,2024,0.431,73.27,1.798,0.3574,0.682,170,21.923999555408955,-21.923999555408955,170,4352.0,0.2870526062935383,4354
CIN,2024,0.189,31.678,1.65,0.3773,0.633,168,-34.6199998750817,34.6199998750817,168,4258.0,0.2843040473840079,4258
CLE,2024,0.553,97.954,1.646,0.3779,0.6,177,34.738000753102824,-34.738000753102824,177,4310.0,0.27716994894237784,4310
COL,2024,0.219,36.987,2.006,0.3326,0.667,169,-219.2319989921525,219.2319989921525,169,4759.0,0.317428760768721,4759
CWS,2024,-0.044,-7.391,2.004,0.3329,0.631,168,-128.47700049588457,128.47700049588457,168,4317.0,0.2990995376003894,4317
DET,2024,0.59,103.893,1.87,0.3484,0.672,176,92.20300080766901,-92.20300080766901,176,4477.0,0.27904275092936803,4477
HOU,2024,0.281,46.646,1.897,0.3452,0.658,166,43.90300116757862,-43.90300116757862,166,4046.0,0.2824961160020715,4046
KC,2024,0.671,116.014,1.706,0.3695,0.66,173,55.95200082403608,-55.95200082403608,173,4399.0,0.29163722025912836,4399
LAA,2024,0.453,76.594,1.716,0.3682,0.638,169,-75.07400035625324,75.07400035625324,169,4367.0,0.28221153846153846,4367
LAD,2024,0.718,129.921,1.796,0.3576,0.638,181,10.041999720968306,-10.041999720968306,181,4591.0,0.2746623941405356,4591
MIA,2024,0.136,22.424,1.757,0.3627,0.632,165,-121.22299923328683,121.22299923328683,165,4383.0,0.30076445293836596,4383
MIL,2024,0.651,112.004,1.762,0.362,0.68,172,34.122999931452796,-34.122999931452796,172,4383.0,0.2783628530397319,4383
